make,model,generation,year_from,year_to,segment
Tata,Indica,Vista,2008,2016,hatchback
Tata,Xenon,XT,2010,2020,pickup
Tata,Ace,HT,2005,2024,van
Mahindra,Bolero,MDI,2011,2022,suv
Mahindra,Scorpio,S11,2014,2022,suv
Mahindra,KUV100,NXT,2016,2023,crossover
Mahindra,Thar,CJ,2010,2020,suv
Hyundai,Eon,HA,2011,2019,kei
Hyundai,Accent,RB,2010,2019,sedan
Hyundai,Elantra,AD,2015,2020,sedan
Hyundai,Tucson,TL,2015,2020,suv
Hyundai,Grand i10,BA,2013,2020,hatchback
Kia,Picanto,JA,2017,2024,hatchback
Kia,Sportage,QL,2015,2021,suv
Kia,Sorento,UM,2014,2020,suv
Kia,Rio,YB,2011,2017,hatchback
BMW,3 Series,F30,2011,2019,luxury
BMW,X1,F48,2015,2022,luxury
Mercedes-Benz,C-Class,W205,2014,2021,luxury
Mercedes-Benz,E-Class,W213,2016,2023,luxury
Audi,A4,B9,2015,2023,luxury
Land Rover,Defender,L663,2020,2025,luxury
Isuzu,D-Max,RT85,2012,2020,pickup
Ford,Ranger,PX,2011,2022,pickup
Toyota,Sienta,XP170,2015,2022,van
Toyota,Noah,R80,2014,2021,van
Toyota,Voxy,R80,2014,2021,van
Toyota,Roomy,M900,2016,2023,van
Toyota,Corolla Cross,XG10,2020,2025,crossover
Honda,Fit Shuttle,GP2,2011,2015,hatchback
Honda,N-Box,JF3,2017,2023,kei
Nissan,Serena,C27,2016,2023,van
Nissan,Juke,F15,2010,2019,crossover
Nissan,Dayz,B21,2013,2019,kei
Suzuki,Stingray,MH55S,2017,2024,kei
Suzuki,Ertiga,XL7,2018,2024,van
Suzuki,S-Presso,A6,2019,2025,hatchback
Mitsubishi,Attrage,A10,2013,2023,sedan
Daihatsu,Tanto,LA600,2013,2019,kei
Daihatsu,Thor,M900,2016,2023,van
Hyundai,Santa Fe,TM,2018,2024,suv
Kia,Cerato,BD,2018,2024,sedan
Isuzu,MU-X,RJ,2013,2021,suv
BYD,Atto 3,SC2E,2022,2025,ev
