alias,canonical,source
radiator coolant,Engine Coolant 4L,trade_vocabulary
coolant fluid,Engine Coolant 4L,trade_vocabulary
charging dynamo,Alternator,trade_vocabulary
starting motor,Starter Motor,trade_vocabulary
lead acid battery,Battery,trade_vocabulary
car horn,Horn,trade_vocabulary
horn unit,Horn,trade_vocabulary
head lamp assembly,Headlight,trade_vocabulary
front lamp,Headlight,trade_vocabulary
tail lamp,Tail Light,trade_vocabulary
back lamp,Tail Light,trade_vocabulary
fog lamp,Fog Light,trade_vocabulary
driving light,Fog Light,trade_vocabulary
spot light,Fog Light,trade_vocabulary
head lamp globe,Headlight Bulb,trade_vocabulary
disc brake pad,Brake Pads,trade_vocabulary
brake pad set,Brake Pads,trade_vocabulary
disc rotor,Brake Disc,trade_vocabulary
rotor disc,Brake Disc,trade_vocabulary
caliper assembly,Brake Caliper,trade_vocabulary
brake master,Brake Master Cylinder,trade_vocabulary
master pump,Brake Master Cylinder,trade_vocabulary
dot4,Brake Fluid DOT4,trade_vocabulary
dot 4 fluid,Brake Fluid DOT4,trade_vocabulary
parking brake cable,Handbrake Cable,trade_vocabulary
hand brake wire,Handbrake Cable,trade_vocabulary
pad clips,Brake Hardware Clips,trade_vocabulary
caliper clips,Brake Hardware Clips,trade_vocabulary
gas shock,Shock Absorber,trade_vocabulary
suspension damper,Shock Absorber,trade_vocabulary
suspension coil,Coil Spring,trade_vocabulary
road spring,Coil Spring,trade_vocabulary
wishbone arm,Control Arm,trade_vocabulary
suspension arm,Control Arm,trade_vocabulary
track control arm,Control Arm,trade_vocabulary
lower ball joint,Ball Joint,trade_vocabulary
suspension ball joint,Ball Joint,trade_vocabulary
anti roll bar link,Stabiliser Link,trade_vocabulary
sway bar link,Stabiliser Link,trade_vocabulary
drop link,Stabiliser Link,trade_vocabulary
wheel hub bearing,Wheel Bearing,trade_vocabulary
hub assembly,Wheel Bearing,trade_vocabulary
steering tie rod,Tie Rod End,trade_vocabulary
track rod end,Tie Rod End,trade_vocabulary
rack and pinion,Steering Rack,trade_vocabulary
steering gear,Steering Rack,trade_vocabulary
ps pump,Power Steering Pump,trade_vocabulary
hydraulic steering pump,Power Steering Pump,trade_vocabulary
clutch set,Clutch Kit,trade_vocabulary
clutch assembly,Clutch Kit,trade_vocabulary
clutch disc,Clutch Kit,trade_vocabulary
constant velocity joint,CV Joint,trade_vocabulary
drive shaft cv,CV Joint,trade_vocabulary
cv gaiter,CV Boot,trade_vocabulary
drive shaft boot,CV Boot,trade_vocabulary
engine bush,Engine Mount,trade_vocabulary
motor mount,Engine Mount,trade_vocabulary
transmission mount,Gearbox Mount,trade_vocabulary
gearbox mounting,Gearbox Mount,trade_vocabulary
front bumper cover,Front Bumper,trade_vocabulary
back bumper cover,Rear Bumper,trade_vocabulary
bonnet panel,Bonnet,trade_vocabulary
engine hood,Bonnet,trade_vocabulary
front wing,Front Fender,trade_vocabulary
fender panel,Front Fender,trade_vocabulary
hatch door,Rear Hatch,trade_vocabulary
boot door,Rear Hatch,trade_vocabulary
dicky,Rear Hatch,trade_vocabulary
wind screen,Windscreen,trade_vocabulary
windscreen glass,Windscreen,trade_vocabulary
radiator grille,Grille,trade_vocabulary
front grille,Grille,trade_vocabulary
windscreen wiper,Wiper Blade,trade_vocabulary
wiper set,Wiper Blade,trade_vocabulary
side view mirror,Side Mirror,trade_vocabulary
outside mirror,Side Mirror,trade_vocabulary
front door panel,Front Door,trade_vocabulary
driver door,Front Door,trade_vocabulary
passenger door,Front Door,trade_vocabulary
exhaust silencer,Muffler,trade_vocabulary
rear silencer,Muffler,trade_vocabulary
exhaust muffler,Muffler,trade_vocabulary
cat con,Catalytic Converter,trade_vocabulary
emission converter,Catalytic Converter,trade_vocabulary
manifold gasket,Exhaust Gasket,trade_vocabulary
exhaust seal,Exhaust Gasket,trade_vocabulary
cabin air filter,Cabin Filter,trade_vocabulary
dust filter,Cabin Filter,trade_vocabulary
air con compressor,AC Compressor,trade_vocabulary
compressor pump,AC Compressor,trade_vocabulary
aircon condenser,AC Condenser,trade_vocabulary
condenser coil,AC Condenser,trade_vocabulary
heater blower,Blower Motor,trade_vocabulary
ac blower,Blower Motor,trade_vocabulary
blower fan,Blower Motor,trade_vocabulary
safety belt,Seat Belt,trade_vocabulary
seat belt assembly,Seat Belt,trade_vocabulary
air bag,Airbag Module,trade_vocabulary
airbag unit,Airbag Module,trade_vocabulary
srs module,Airbag Module,trade_vocabulary
hybrid pack,Hybrid Battery Pack,trade_vocabulary
hv battery pack,Hybrid Battery Pack,trade_vocabulary
traction pack,Traction Battery Pack,trade_vocabulary
ev battery pack,Traction Battery Pack,trade_vocabulary
charging port,EV Charging Port,trade_vocabulary
charge socket,EV Charging Port,trade_vocabulary
charging inlet,EV Charging Port,trade_vocabulary
dc converter,DC-DC Converter,trade_vocabulary
voltage converter,DC-DC Converter,trade_vocabulary
inverter pump,Inverter Coolant Pump,trade_vocabulary
inverter water pump,Inverter Coolant Pump,trade_vocabulary
hybrid coolant pump,Inverter Coolant Pump,trade_vocabulary
