part_name,part_category,make,model,generation,year_from,year_to,tier,brand,part_number,price_lkr
Water Pump,cooling,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-5988-ECO,7400
Water Pump Gasket,cooling,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9455-OEM,2300
Water Pump Gasket,cooling,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Gates,NHP10-9455-CER,1300
Water Pump Gasket,cooling,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-9455-ECO,700
Thermostat,cooling,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9932-OEM,8100
Thermostat,cooling,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Aisin,NHP10-9932-CER,4500
Thermostat,cooling,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-9932-ECO,2400
Radiator,cooling,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-6027-OEM,36000
Radiator,cooling,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-6027-CER,20000
Radiator,cooling,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-6027-ECO,10800
Radiator Hose,cooling,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-5867-OEM,4950
Radiator Hose,cooling,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-5867-CER,2750
Radiator Hose,cooling,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-5867-ECO,1500
Engine Coolant 4L,cooling,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-8639-OEM,4000
Engine Coolant 4L,cooling,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Gates,NHP10-8639-CER,2250
Engine Coolant 4L,cooling,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-8639-ECO,1200
Drive Belt,engine_management,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-1866-OEM,6500
Drive Belt,engine_management,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-1866-CER,3600
Drive Belt,engine_management,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-1866-ECO,1950
Timing Belt,engine_management,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9528-OEM,15200
Timing Belt,engine_management,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,NGK,NHP10-9528-CER,8500
Timing Belt,engine_management,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-9528-ECO,4550
Alternator,electrical,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9557-OEM,45500
Alternator,electrical,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bosch,NHP10-9557-CER,25500
Alternator,electrical,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-9557-ECO,13700
Starter Motor,electrical,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-8572-OEM,37000
Starter Motor,electrical,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-8572-CER,20500
Starter Motor,electrical,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-8572-ECO,11100
Battery,electrical,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2458-OEM,26500
Battery,electrical,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-2458-CER,14900
Battery,electrical,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-2458-ECO,8000
Headlight,lighting,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2050-OEM,32500
Headlight,lighting,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Valeo,NHP10-2050-CER,18100
Headlight,lighting,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-2050-ECO,9700
Headlight Bulb,lighting,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-8376-OEM,4300
Headlight Bulb,lighting,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Valeo,NHP10-8376-CER,2400
Headlight Bulb,lighting,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-8376-ECO,1300
Tail Light,lighting,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9551-OEM,17100
Tail Light,lighting,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Valeo,NHP10-9551-CER,9600
Tail Light,lighting,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-9551-ECO,5100
Fog Light,lighting,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-3688-OEM,10400
Fog Light,lighting,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Valeo,NHP10-3688-CER,5900
Fog Light,lighting,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-3688-ECO,3150
Side Mirror,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-5811-OEM,15200
Side Mirror,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,TYC,NHP10-5811-CER,8500
Side Mirror,body,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-5811-ECO,4550
Horn,electrical,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9532-OEM,5200
Horn,electrical,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-9532-CER,2950
Horn,electrical,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-9532-ECO,1550
Brake Pads,braking,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-8074-OEM,12800
Brake Pads,braking,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,TRW,NHP10-8074-CER,7200
Brake Pads,braking,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-8074-ECO,3850
Brake Disc,braking,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-4887-OEM,20000
Brake Disc,braking,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Akebono,NHP10-4887-CER,11200
Brake Disc,braking,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-4887-ECO,6000
Brake Hardware Clips,braking,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-7502-OEM,2300
Brake Hardware Clips,braking,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,TRW,NHP10-7502-CER,1300
Brake Hardware Clips,braking,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-7502-ECO,700
Brake Fluid DOT4,braking,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-7889-OEM,3050
Brake Fluid DOT4,braking,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bendix,NHP10-7889-CER,1700
Brake Fluid DOT4,braking,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-7889-ECO,900
Brake Caliper,braking,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2490-OEM,32500
Brake Caliper,braking,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bendix,NHP10-2490-CER,18100
Brake Caliper,braking,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-2490-ECO,9700
Brake Master Cylinder,braking,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-5739-OEM,27500
Brake Master Cylinder,braking,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Akebono,NHP10-5739-CER,15400
Brake Master Cylinder,braking,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-5739-ECO,8300
Handbrake Cable,braking,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-1634-OEM,7400
Handbrake Cable,braking,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,TRW,NHP10-1634-CER,4150
Handbrake Cable,braking,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-1634-ECO,2200
Shock Absorber,suspension,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9016-OEM,23000
Shock Absorber,suspension,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Monroe,NHP10-9016-CER,12800
Shock Absorber,suspension,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-9016-ECO,6800
Coil Spring,suspension,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-0900-OEM,16200
Coil Spring,suspension,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bilstein,NHP10-0900-CER,9000
Coil Spring,suspension,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-0900-ECO,4850
Control Arm,suspension,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-6579-OEM,22000
Control Arm,suspension,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bilstein,NHP10-6579-CER,12200
Control Arm,suspension,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-6579-ECO,6600
Ball Joint,suspension,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2902-OEM,9000
Ball Joint,suspension,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bilstein,NHP10-2902-CER,5100
Ball Joint,suspension,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-2902-ECO,2700
Stabiliser Link,suspension,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-5315-OEM,5900
Stabiliser Link,suspension,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Monroe,NHP10-5315-CER,3300
Stabiliser Link,suspension,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-5315-ECO,1750
Wheel Bearing,suspension,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9845-OEM,12400
Wheel Bearing,suspension,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Monroe,NHP10-9845-CER,6900
Wheel Bearing,suspension,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-9845-ECO,3700
Tie Rod End,steering,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-8761-OEM,8400
Tie Rod End,steering,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,555,NHP10-8761-CER,4700
Tie Rod End,steering,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-8761-ECO,2500
Steering Rack,steering,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-3180-OEM,59000
Steering Rack,steering,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,TRW,NHP10-3180-CER,33000
Steering Rack,steering,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-3180-ECO,17700
Power Steering Pump,steering,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-0788-OEM,39000
Power Steering Pump,steering,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,TRW,NHP10-0788-CER,22000
Power Steering Pump,steering,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-0788-ECO,11700
Clutch Kit,transmission,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-8400-OEM,49500
Clutch Kit,transmission,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Exedy,NHP10-8400-CER,27500
Clutch Kit,transmission,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-8400-ECO,14800
CV Joint,transmission,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-1321-OEM,17100
CV Joint,transmission,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Aisin,NHP10-1321-CER,9600
CV Joint,transmission,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-1321-ECO,5100
CV Boot,transmission,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-4077-OEM,3600
CV Boot,transmission,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Exedy,NHP10-4077-CER,2000
CV Boot,transmission,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-4077-ECO,1100
Engine Mount,transmission,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-0508-OEM,13300
Engine Mount,transmission,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,GMB,NHP10-0508-CER,7400
Engine Mount,transmission,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-0508-ECO,4000
Gearbox Mount,transmission,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-6429-OEM,10400
Gearbox Mount,transmission,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,GMB,NHP10-6429-CER,5900
Gearbox Mount,transmission,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-6429-ECO,3150
Front Bumper,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-8597-OEM,30500
Front Bumper,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Replacement OE,NHP10-8597-CER,17000
Front Bumper,body,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-8597-ECO,9100
Rear Bumper,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2548-OEM,27500
Rear Bumper,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Replacement OE,NHP10-2548-CER,15400
Rear Bumper,body,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-2548-ECO,8300
Bonnet,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9678-OEM,39000
Bonnet,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Replacement OE,NHP10-9678-CER,22000
Bonnet,body,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-9678-ECO,11700
Front Fender,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-0821-OEM,18000
Front Fender,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Replacement OE,NHP10-0821-CER,10100
Front Fender,body,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-0821-ECO,5400
Rear Hatch,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-7435-OEM,43500
Rear Hatch,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Replacement OE,NHP10-7435-CER,24500
Rear Hatch,body,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-7435-ECO,13100
Front Door,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-7040-OEM,51500
Front Door,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Replacement OE,NHP10-7040-CER,28500
Front Door,body,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-7040-ECO,15400
Windscreen,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2294-OEM,35000
Windscreen,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Depo,NHP10-2294-CER,19700
Windscreen,body,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-2294-ECO,10500
Grille,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-1679-OEM,12400
Grille,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Depo,NHP10-1679-CER,6900
Grille,body,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-1679-ECO,3700
Wiper Blade,body,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9018-OEM,3250
Wiper Blade,body,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,TYC,NHP10-9018-CER,1800
Wiper Blade,body,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-9018-ECO,950
Muffler,exhaust,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2335-OEM,23000
Muffler,exhaust,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Walker,NHP10-2335-CER,12800
Muffler,exhaust,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-2335-ECO,6800
Catalytic Converter,exhaust,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2436-OEM,74000
Catalytic Converter,exhaust,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Sango,NHP10-2436-CER,41500
Catalytic Converter,exhaust,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-2436-ECO,22000
Exhaust Gasket,exhaust,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-0228-OEM,2100
Exhaust Gasket,exhaust,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bosal,NHP10-0228-CER,1150
Exhaust Gasket,exhaust,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-0228-ECO,650
Cabin Filter,hvac,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9487-OEM,4000
Cabin Filter,hvac,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Valeo,NHP10-9487-CER,2250
Cabin Filter,hvac,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-9487-ECO,1200
AC Compressor,hvac,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-1913-OEM,68500
AC Compressor,hvac,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Sanden,NHP10-1913-CER,38500
AC Compressor,hvac,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-1913-ECO,20500
AC Condenser,hvac,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-5535-OEM,29500
AC Condenser,hvac,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-5535-CER,16500
AC Condenser,hvac,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-5535-ECO,8800
Blower Motor,hvac,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-1676-OEM,15200
Blower Motor,hvac,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Valeo,NHP10-1676-CER,8500
Blower Motor,hvac,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-1676-ECO,4550
Seat Belt,restraint_system,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-4014-OEM,13300
Seat Belt,restraint_system,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Takata Replacement,NHP10-4014-CER,7400
Seat Belt,restraint_system,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-4014-ECO,4000
Airbag Module,restraint_system,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-1374-OEM,83500
Hybrid Battery Pack,ev_drivetrain,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2939-OEM,400000
Hybrid Battery Pack,ev_drivetrain,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Reman Cell,NHP10-2939-CER,225000
Inverter Coolant Pump,ev_drivetrain,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-2388-OEM,30500
Inverter Coolant Pump,ev_drivetrain,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Reman Cell,NHP10-2388-CER,17000
Mass Air Flow Sensor,engine_management,Toyota,Aqua,MXPK10,2021,2025,OEM_Genuine,Toyota Genuine,MXPK10-4318-OEM,43500
Mass Air Flow Sensor,engine_management,Toyota,Aqua,MXPK10,2021,2025,Certified_Aftermarket,Denso,MXPK10-4318-CER,24500
Mass Air Flow Sensor,engine_management,Toyota,Aqua,MXPK10,2021,2025,Economy,Generic Import,MXPK10-4318-ECO,13100
Oxygen Sensor,engine_management,Toyota,Aqua,MXPK10,2021,2025,OEM_Genuine,Toyota Genuine,MXPK10-0596-OEM,25500
Oxygen Sensor,engine_management,Toyota,Aqua,MXPK10,2021,2025,Certified_Aftermarket,Denso,MXPK10-0596-CER,14200
Oxygen Sensor,engine_management,Toyota,Aqua,MXPK10,2021,2025,Economy,Generic Import,MXPK10-0596-ECO,7600
Throttle Body,engine_management,Toyota,Aqua,MXPK10,2021,2025,OEM_Genuine,Toyota Genuine,MXPK10-0888-OEM,53000
Throttle Body,engine_management,Toyota,Aqua,MXPK10,2021,2025,Certified_Aftermarket,Denso,MXPK10-0888-CER,29500
Throttle Body,engine_management,Toyota,Aqua,MXPK10,2021,2025,Economy,Generic Import,MXPK10-0888-ECO,15900
Ignition Coil,engine_management,Toyota,Aqua,MXPK10,2021,2025,OEM_Genuine,Toyota Genuine,MXPK10-7213-OEM,16100
Ignition Coil,engine_management,Toyota,Aqua,MXPK10,2021,2025,Certified_Aftermarket,Denso,MXPK10-7213-CER,9000
Ignition Coil,engine_management,Toyota,Aqua,MXPK10,2021,2025,Economy,Generic Import,MXPK10-7213-ECO,4850
Spark Plug,engine_management,Toyota,Aqua,MXPK10,2021,2025,OEM_Genuine,Toyota Genuine,MXPK10-9686-OEM,3700
Spark Plug,engine_management,Toyota,Aqua,MXPK10,2021,2025,Certified_Aftermarket,Bosch,MXPK10-9686-CER,2050
Spark Plug,engine_management,Toyota,Aqua,MXPK10,2021,2025,Economy,Generic Import,MXPK10-9686-ECO,1100
Air Filter,engine_management,Toyota,Aqua,MXPK10,2021,2025,OEM_Genuine,Toyota Genuine,MXPK10-4507-OEM,5500
Air Filter,engine_management,Toyota,Aqua,MXPK10,2021,2025,Certified_Aftermarket,Bosch,MXPK10-4507-CER,3100
Air Filter,engine_management,Toyota,Aqua,MXPK10,2021,2025,Economy,Generic Import,MXPK10-4507-ECO,1650
Fuel Filter,fuel_delivery,Toyota,Aqua,MXPK10,2021,2025,OEM_Genuine,Toyota Genuine,MXPK10-9796-OEM,8600
Fuel Filter,fuel_delivery,Toyota,Aqua,MXPK10,2021,2025,Certified_Aftermarket,Denso,MXPK10-9796-CER,4850
Fuel Filter,fuel_delivery,Toyota,Aqua,MXPK10,2021,2025,Economy,Taiwan Aftermarket,MXPK10-9796-ECO,2600
Fuel Pump,fuel_delivery,Toyota,Aqua,MXPK10,2021,2025,OEM_Genuine,Toyota Genuine,MXPK10-5743-OEM,48500
